               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086932,            0.025118,            0.028458,             0.09359,            0.066667,            0.039891,            0.011044,            0.074751,            0.015926,            0.023952,              0.0001,              0.0001,              0.0991
                   1,            0.089928,            0.025017,            0.031309,             0.16539,            0.066667,              0.0431,           0.0050555,            0.067019,            0.015672,            0.021657,          0.00020999,          0.00020999,             0.09811
                   2,            0.088126,            0.027003,            0.029818,             0.99993,            0.033333,            0.049202,            0.006095,            0.053951,            0.015801,            0.018719,          0.00031993,          0.00031993,             0.09712
                   3,            0.066333,            0.029098,            0.021598,             0.13093,                 0.3,            0.092314,            0.031875,            0.045837,            0.015178,            0.016185,          0.00042979,          0.00042979,             0.09613
                   4,            0.067014,            0.028518,            0.020689,             0.25307,             0.53333,             0.24845,            0.073367,            0.039781,            0.014751,            0.013763,          0.00053952,          0.00053952,             0.09514
                   5,            0.051791,            0.028966,            0.016224,             0.41168,             0.63333,             0.43505,             0.14849,            0.037402,            0.014317,            0.011081,           0.0006491,           0.0006491,            0.094149
                   6,            0.056834,            0.028672,            0.016231,             0.39525,             0.73333,             0.46786,              0.1823,            0.033571,            0.013377,           0.0088973,          0.00075848,          0.00075848,            0.093158
                   7,            0.053635,            0.027282,            0.013029,             0.67337,                 0.7,             0.70457,             0.28739,            0.031918,            0.012653,           0.0066705,          0.00086764,          0.00086764,            0.092168
                   8,            0.050498,             0.02889,            0.011722,             0.56643,             0.69684,              0.6925,             0.27981,            0.028118,            0.012674,           0.0051258,          0.00097652,          0.00097652,            0.091177
                   9,            0.044797,             0.02635,            0.008924,             0.56029,             0.76667,             0.71402,             0.32976,            0.024848,            0.012223,           0.0042586,           0.0010851,           0.0010851,            0.090185
                  10,            0.046218,            0.024995,           0.0075965,             0.85167,             0.76559,             0.82948,             0.38734,            0.023211,            0.011382,           0.0032977,           0.0011934,           0.0011934,            0.089193
                  11,            0.033776,            0.023276,           0.0054836,             0.70466,                 0.8,             0.68972,              0.2965,            0.024529,            0.010428,           0.0027296,           0.0013012,           0.0013012,            0.088201
                  12,            0.034753,            0.021202,           0.0048539,             0.63879,             0.76635,             0.73337,              0.2962,            0.028249,           0.0094017,           0.0023077,           0.0014087,           0.0014087,            0.087209
                  13,            0.039629,            0.021166,            0.005028,             0.69354,             0.83333,             0.73192,             0.34259,             0.02666,           0.0086267,           0.0020315,           0.0015157,           0.0015157,            0.086216
                  14,            0.039654,            0.018871,           0.0037728,             0.71014,             0.76667,             0.76886,             0.37834,            0.022811,            0.008033,           0.0018179,           0.0016222,           0.0016222,            0.085222
                  15,            0.041078,            0.020569,           0.0038485,             0.64855,             0.79967,             0.67321,             0.39618,            0.026739,           0.0078543,           0.0019344,           0.0017282,           0.0017282,            0.084228
                  16,            0.036038,            0.018461,           0.0029101,             0.79335,                 0.9,             0.85155,             0.53318,            0.020463,           0.0075855,           0.0019987,           0.0018337,           0.0018337,            0.083234
                  17,            0.041521,            0.019732,           0.0038689,             0.77131,             0.89941,             0.91296,             0.58697,            0.024842,           0.0071205,           0.0017092,           0.0019386,           0.0019386,            0.082239
                  18,            0.037655,            0.019128,           0.0026554,             0.51886,                 0.9,              0.6936,             0.46255,            0.029725,           0.0067091,           0.0015011,           0.0020428,           0.0020428,            0.081243
                  19,             0.04289,            0.018568,           0.0025448,             0.69153,                 0.9,             0.83178,             0.52883,            0.024091,            0.006366,           0.0015028,           0.0021464,           0.0021464,            0.080246
                  20,            0.038516,            0.016209,           0.0025679,             0.86642,             0.86667,             0.90173,             0.53859,            0.020608,           0.0063005,           0.0014864,           0.0022493,           0.0022493,            0.079249
                  21,             0.03593,            0.017799,           0.0023291,             0.56782,             0.96667,             0.72016,             0.43808,            0.026646,           0.0058956,            0.001276,           0.0023515,           0.0023515,            0.078252
                  22,            0.041655,            0.016882,            0.002116,             0.85701,             0.99898,              0.9179,             0.52479,            0.019743,            0.005917,           0.0012576,            0.002453,            0.002453,            0.077253
                  23,            0.034392,            0.018025,           0.0016221,              0.6754,             0.83232,             0.75038,             0.42293,            0.024088,           0.0054506,           0.0012694,           0.0025536,           0.0025536,            0.076254
                  24,            0.035401,            0.017977,           0.0018336,             0.87445,             0.93333,             0.94859,             0.61414,            0.021766,           0.0054512,           0.0011826,           0.0026534,           0.0026534,            0.075253
                  25,            0.046346,            0.015471,           0.0017273,             0.78095,             0.83194,             0.85793,             0.54473,            0.034934,           0.0052794,           0.0013108,           0.0027524,           0.0027524,            0.074252
                  26,             0.05195,            0.015933,           0.0020677,             0.56825,             0.96521,             0.76588,             0.48511,            0.028667,             0.00522,           0.0013159,           0.0028504,           0.0028504,             0.07325
                  27,            0.041815,            0.015761,           0.0019237,             0.72927,                 0.9,             0.83187,             0.42076,            0.030011,           0.0051052,           0.0012386,           0.0029476,           0.0029476,            0.072248
                  28,             0.04239,            0.015781,           0.0017184,             0.76923,             0.99998,             0.90216,             0.55164,             0.02484,           0.0051563,           0.0013582,           0.0030438,           0.0030438,            0.071244
                  29,            0.044324,             0.01539,           0.0018516,             0.69031,             0.96595,             0.80981,             0.53302,            0.037235,           0.0047128,           0.0013701,            0.003139,            0.003139,            0.070239
                  30,            0.039682,            0.015279,           0.0018342,             0.61644,             0.96667,             0.78112,             0.47727,            0.029838,           0.0046205,           0.0013997,           0.0032332,           0.0032332,            0.069233
                  31,            0.033982,            0.016244,           0.0018519,             0.90862,                   1,             0.96598,             0.60709,            0.025885,           0.0047068,           0.0012103,           0.0033264,           0.0033264,            0.068226
                  32,            0.041731,            0.016849,           0.0021397,             0.79972,             0.93333,             0.86439,              0.4533,            0.022088,           0.0045842,           0.0011141,           0.0034185,           0.0034185,            0.067219
                  33,             0.03435,            0.014943,           0.0015865,             0.72964,             0.89958,             0.83591,             0.54894,            0.025582,           0.0044355,           0.0011533,           0.0035095,           0.0035095,            0.066209
                  34,            0.040696,            0.014759,           0.0018063,             0.85273,             0.96667,             0.93788,             0.63344,            0.021946,           0.0043724,           0.0012044,           0.0035994,           0.0035994,            0.065199
                  35,            0.032311,            0.013994,           0.0015932,             0.83312,             0.83212,             0.89317,             0.57314,             0.02672,            0.004257,           0.0012545,           0.0036881,           0.0036881,            0.064188
                  36,            0.035648,            0.015687,           0.0017738,             0.85285,             0.96667,             0.94379,             0.52606,            0.027679,           0.0041306,           0.0012213,           0.0037756,           0.0037756,            0.063176
                  37,            0.036038,            0.014467,           0.0016761,              0.8955,             0.86667,             0.91686,             0.60099,            0.017597,           0.0040833,           0.0011911,           0.0038619,           0.0038619,            0.062162
                  38,            0.032985,            0.014006,           0.0017923,             0.95765,             0.76667,             0.92591,             0.55306,            0.031314,           0.0039718,           0.0011549,            0.003947,            0.003947,            0.061147
                  39,            0.038626,            0.014368,           0.0018043,             0.93295,             0.93333,             0.96931,             0.62839,            0.025743,           0.0039641,           0.0011825,           0.0040308,           0.0040308,            0.060131
