               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10519,            0.024035,            0.031096,             0.14812,              0.1875,            0.051441,            0.014151,             0.12204,            0.014848,            0.041165,               6e-05,               6e-05,             0.09946
                   1,               0.113,            0.022976,            0.029947,            0.090638,             0.15625,            0.038689,            0.013987,             0.10694,            0.014717,            0.034649,          0.00012999,          0.00012999,             0.09883
                   2,            0.099489,            0.024452,            0.027149,            0.090674,              0.3125,            0.075234,            0.024931,            0.099414,            0.014408,            0.027519,          0.00019996,          0.00019996,              0.0982
                   3,            0.090398,            0.024874,            0.023558,             0.28568,             0.15625,             0.17111,            0.057356,            0.092088,            0.014348,            0.023205,          0.00026987,          0.00026987,             0.09757
                   4,            0.077544,             0.02752,            0.021928,             0.19232,             0.34375,             0.21151,            0.071846,            0.083238,            0.014367,            0.019096,           0.0003397,           0.0003397,             0.09694
                   5,            0.069796,             0.02764,            0.017615,              0.2154,                 0.5,             0.19011,            0.056129,            0.075621,            0.014302,            0.015724,          0.00040943,          0.00040943,            0.096309
                   6,            0.073842,            0.028171,             0.01681,             0.47516,              0.3125,             0.37097,              0.1222,            0.069581,            0.014008,             0.01314,          0.00047904,          0.00047904,            0.095679
                   7,            0.078102,            0.025877,             0.01513,             0.47199,              0.5625,             0.50683,             0.22117,            0.065476,            0.013715,             0.01085,          0.00054851,          0.00054851,            0.095049
                   8,            0.063314,            0.027705,            0.012632,             0.55124,              0.4375,             0.47673,             0.21161,            0.063078,            0.013478,           0.0086841,           0.0006178,           0.0006178,            0.094418
                   9,             0.06655,            0.028512,            0.012662,             0.41719,              0.5625,             0.48938,             0.19884,            0.058767,              0.0129,           0.0069946,           0.0006869,           0.0006869,            0.093787
                  10,             0.05652,            0.025321,           0.0094165,             0.54688,             0.53125,             0.57809,              0.2683,            0.060194,            0.012377,           0.0056446,          0.00075579,          0.00075579,            0.093156
                  11,            0.057378,            0.027138,           0.0075201,             0.51218,             0.62344,             0.57608,             0.27389,            0.060261,            0.011897,           0.0044258,          0.00082444,          0.00082444,            0.092524
                  12,            0.053323,            0.025602,           0.0062158,               0.509,             0.84375,             0.65597,             0.29938,            0.055276,            0.011348,           0.0036744,          0.00089283,          0.00089283,            0.091893
                  13,            0.044806,            0.021452,           0.0054316,              0.7267,                0.75,             0.78146,             0.36991,            0.052288,            0.010681,           0.0029179,          0.00096093,          0.00096093,            0.091261
                  14,            0.051151,            0.023489,           0.0057034,              0.8208,             0.71875,             0.82246,             0.43571,            0.045781,            0.010297,           0.0023397,           0.0010287,           0.0010287,            0.090629
                  15,            0.046609,            0.023736,           0.0042338,             0.84831,               0.875,             0.86362,              0.4707,            0.040986,           0.0097132,           0.0019023,           0.0010962,           0.0010962,            0.089996
