               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10477,            0.027026,            0.030944,            0.039483,            0.033333,            0.012825,           0.0024716,            0.061585,            0.018618,            0.026621,               7e-05,               7e-05,             0.09937
                   1,            0.092594,            0.024649,            0.028695,             0.11097,            0.033292,            0.018998,           0.0042727,            0.052638,            0.018056,            0.023969,          0.00014999,          0.00014999,             0.09865
                   2,            0.084788,            0.026314,            0.024271,            0.052573,                 0.1,            0.029532,           0.0084157,            0.044595,            0.017661,             0.02112,          0.00022995,          0.00022995,             0.09793
                   3,            0.082408,            0.027489,            0.023062,            0.072662,             0.13333,            0.050839,            0.007816,            0.040509,            0.017313,             0.01821,          0.00030985,          0.00030985,             0.09721
                   4,            0.075718,            0.027954,            0.023137,             0.10867,                 0.1,            0.045474,           0.0095769,            0.037975,            0.017057,            0.014716,          0.00038965,          0.00038965,             0.09649
                   5,             0.06611,            0.025768,            0.019746,             0.13858,             0.26667,             0.10272,            0.028245,            0.034164,            0.016472,            0.012721,          0.00046935,          0.00046935,            0.095769
                   6,            0.059608,             0.02745,            0.016809,              0.3474,             0.46667,             0.30453,              0.1089,            0.037067,            0.015799,            0.010876,           0.0005489,           0.0005489,            0.095049
                   7,             0.06165,            0.028798,            0.018252,             0.40804,             0.46667,             0.36591,             0.11985,             0.03937,            0.015217,            0.009137,          0.00062829,          0.00062829,            0.094328
                   8,            0.056546,            0.027749,            0.014505,             0.62307,             0.43333,              0.5336,             0.17981,            0.035424,            0.014783,           0.0069609,          0.00070748,          0.00070748,            0.093607
                   9,            0.060366,            0.026096,            0.012558,              0.5781,             0.82232,             0.69434,             0.26331,            0.030528,            0.014372,           0.0058093,          0.00078645,          0.00078645,            0.092886
                  10,             0.05211,            0.027764,            0.011417,             0.68988,                 0.6,             0.69005,             0.24999,             0.03065,             0.01365,           0.0049165,          0.00086518,          0.00086518,            0.092165
                  11,            0.049459,            0.027092,           0.0089714,             0.70245,             0.86563,             0.82828,             0.31112,            0.028913,            0.013154,           0.0039938,          0.00094363,          0.00094363,            0.091444
                  12,            0.051417,            0.023039,            0.008165,             0.59016,             0.76667,             0.70065,             0.24983,            0.040313,            0.012214,            0.004837,           0.0010218,           0.0010218,            0.090722
                  13,            0.038755,            0.025132,            0.006623,             0.73992,             0.66667,             0.80673,             0.33051,            0.034426,            0.012199,           0.0030091,           0.0010996,           0.0010996,                0.09
                  14,            0.041416,            0.023797,           0.0063212,             0.71425,              0.8332,             0.82012,             0.38423,            0.029238,             0.01149,            0.002601,           0.0011771,           0.0011771,            0.089277
                  15,             0.05028,            0.021919,           0.0068688,             0.72194,             0.86667,             0.83428,             0.48111,             0.02452,             0.01075,           0.0022856,           0.0012542,           0.0012542,            0.088554
                  16,             0.03409,            0.020121,           0.0041069,             0.68378,             0.86667,             0.83271,             0.45367,            0.023973,           0.0094555,           0.0020576,           0.0013309,           0.0013309,            0.087831
                  17,            0.039225,            0.019843,           0.0039252,             0.63812,             0.76667,             0.67299,             0.37443,            0.028132,           0.0088387,           0.0019357,           0.0014072,           0.0014072,            0.087107
                  18,            0.055743,            0.020024,           0.0050053,             0.78776,             0.86608,             0.84614,             0.46261,            0.023004,           0.0086333,           0.0017975,            0.001483,            0.001483,            0.086383
                  19,            0.047287,            0.020269,           0.0039712,             0.78555,             0.73263,             0.79986,             0.39547,            0.031979,            0.007998,             0.00163,           0.0015584,           0.0015584,            0.085658
                  20,            0.050693,            0.019927,           0.0039872,             0.79934,                 0.8,             0.89181,             0.47311,            0.026976,           0.0076792,           0.0015632,           0.0016332,           0.0016332,            0.084933
                  21,            0.040262,            0.018414,           0.0031662,             0.79889,             0.79461,             0.84805,             0.49993,            0.024635,           0.0077205,           0.0015433,           0.0017075,           0.0017075,            0.084208
                  22,             0.04432,            0.018562,           0.0026193,             0.68548,             0.79914,             0.76064,             0.35194,            0.036037,            0.006942,           0.0014364,           0.0017813,           0.0017813,            0.083481
                  23,            0.035929,            0.017253,           0.0020718,             0.86176,             0.83124,             0.87087,             0.49039,            0.030894,           0.0070519,           0.0014565,           0.0018545,           0.0018545,            0.082755
                  24,            0.055713,            0.019646,           0.0028188,             0.93099,                 0.9,             0.95579,             0.54679,            0.022906,           0.0071997,           0.0014011,           0.0019271,           0.0019271,            0.082027
                  25,            0.043714,            0.018326,           0.0022947,             0.63307,             0.86667,              0.7301,             0.42836,            0.030576,           0.0067809,           0.0014535,           0.0019991,           0.0019991,            0.081299
                  26,            0.045834,            0.020382,            0.002592,             0.92829,             0.86667,             0.94965,             0.59935,            0.020307,            0.006635,            0.001233,           0.0020704,           0.0020704,             0.08057
                  27,            0.040053,            0.017628,           0.0019019,             0.92301,             0.79926,             0.88954,             0.60293,             0.02353,           0.0062952,           0.0011321,           0.0021411,           0.0021411,            0.079841
                  28,             0.04623,            0.017919,           0.0018773,             0.89623,             0.86667,             0.92757,             0.59512,            0.020717,           0.0065014,            0.001203,           0.0022111,           0.0022111,            0.079111
                  29,            0.048268,            0.019523,           0.0018168,             0.92304,             0.79965,              0.9139,             0.52008,            0.022301,           0.0061571,           0.0011301,           0.0022803,           0.0022803,             0.07838
                  30,            0.034163,            0.017538,           0.0016726,             0.82788,             0.96667,             0.95485,             0.61559,            0.028016,           0.0060233,           0.0010661,           0.0023489,           0.0023489,            0.077649
                  31,            0.041155,            0.018029,           0.0018509,             0.90319,             0.93333,              0.9476,             0.63308,            0.019826,           0.0057448,          0.00093949,           0.0024166,           0.0024166,            0.076917
                  32,            0.040946,            0.017195,           0.0018578,             0.76259,             0.96667,             0.90926,             0.55218,            0.026326,           0.0055821,          0.00093856,           0.0024836,           0.0024836,            0.076184
                  33,            0.039892,            0.016648,           0.0014797,             0.64418,             0.96667,             0.80549,             0.49136,            0.025422,           0.0054985,           0.0009547,           0.0025498,           0.0025498,             0.07545
                  34,            0.036351,            0.016636,           0.0013708,             0.69994,             0.93308,             0.89117,              0.4436,            0.028512,           0.0054876,           0.0010043,           0.0026152,           0.0026152,            0.074715
                  35,            0.043165,            0.015631,           0.0015865,             0.63979,             0.83333,             0.70644,             0.45249,            0.025096,           0.0056948,            0.001218,           0.0026797,           0.0026797,             0.07398
                  36,            0.048514,            0.016978,           0.0016355,             0.58322,             0.93291,             0.79114,             0.44105,            0.024904,            0.005523,           0.0010491,           0.0027433,           0.0027433,            0.073243
                  37,            0.042914,            0.015892,           0.0016045,             0.87499,             0.93325,             0.93186,             0.58171,            0.022305,           0.0055374,           0.0010306,           0.0028061,           0.0028061,            0.072506
                  38,            0.035687,            0.015077,           0.0013546,             0.87844,             0.96667,              0.9674,             0.63549,            0.019376,           0.0054734,           0.0010369,            0.002868,            0.002868,            0.071768
                  39,            0.041954,            0.017828,           0.0017113,             0.93148,             0.93333,             0.96517,             0.65693,            0.020366,           0.0051365,          0.00094116,            0.002929,            0.002929,            0.071029
                  40,            0.037107,            0.014828,           0.0013373,             0.86158,             0.83333,             0.89926,             0.57948,            0.020752,           0.0051251,          0.00095615,            0.002989,            0.002989,            0.070289
                  41,            0.038006,             0.01578,           0.0016322,             0.96153,             0.83323,             0.95829,             0.62868,            0.017851,           0.0049271,          0.00090741,            0.003048,            0.003048,            0.069548
                  42,            0.046821,            0.017158,           0.0015262,             0.86978,                 0.9,             0.94562,             0.65475,             0.01987,           0.0047975,          0.00090898,           0.0031061,           0.0031061,            0.068806
                  43,            0.039251,            0.015554,            0.001354,             0.78499,             0.73029,             0.80255,             0.51862,            0.024454,           0.0047339,          0.00086942,           0.0031632,           0.0031632,            0.068063
                  44,            0.049235,            0.015586,           0.0016661,             0.93546,             0.96634,             0.97658,             0.64476,            0.017891,           0.0050667,          0.00090324,           0.0032193,           0.0032193,            0.067319
                  45,            0.036797,            0.015626,           0.0015011,             0.93293,             0.93333,             0.97312,             0.63649,            0.021519,           0.0050132,          0.00079935,           0.0032743,           0.0032743,            0.066574
                  46,            0.036942,            0.015459,           0.0011988,             0.96549,             0.93247,             0.98029,             0.67313,            0.021187,           0.0049289,          0.00081969,           0.0033283,           0.0033283,            0.065828
                  47,            0.046542,            0.015423,           0.0016274,             0.92564,             0.83333,             0.93226,              0.6105,            0.023322,           0.0047859,          0.00088344,           0.0033813,           0.0033813,            0.065081
                  48,            0.035707,            0.016235,           0.0013697,               0.909,                   1,              0.9861,             0.65675,            0.018091,           0.0047924,          0.00082976,           0.0034331,           0.0034331,            0.064333
                  49,            0.036684,            0.014498,           0.0012348,             0.87485,             0.93333,             0.95288,             0.65735,            0.025586,           0.0046397,          0.00076778,           0.0034839,           0.0034839,            0.063584
                  50,            0.038797,            0.014177,           0.0013047,             0.96372,             0.93333,             0.98311,             0.68675,            0.023919,           0.0044963,          0.00083647,           0.0035336,           0.0035336,            0.062834
                  51,            0.036355,            0.015609,           0.0014296,              0.9375,             0.99996,             0.98768,             0.67433,            0.019439,           0.0045092,          0.00080732,           0.0035821,           0.0035821,            0.062082
                  52,            0.039237,            0.014932,           0.0012245,             0.73144,                   1,             0.90203,             0.55149,            0.037787,           0.0044418,          0.00079801,           0.0036295,           0.0036295,             0.06133
